,KWCDC_Curncy,GVSK3M_Index,GVSK3YR_Index,GVSK10YR_Index,USDKRW_Curncy,KWSWNI1_Curncy,MOVE_Index,KOSPI_Index,KOSPI_Index_VOLUME,KOSPFIN_Index,USDKRWV1M_BGN_Curncy,CKREA1U5_CBGN_Curncy,VKOSPI_Index
2024-01-02,3.87,3.331,3.24,3.306,1289.4,3.706,127.0199966430664,2669.81005859375,409900.0,6550.0,,-64.4,
2024-01-03,3.85,3.371,3.278,3.338,1299.3,3.701,124.56999969482422,2607.31005859375,463100.0,6435.0,,-57.2,
2024-01-04,3.84,3.338,3.227,3.288,1308.8,3.663,121.12000274658203,2587.02001953125,770200.0,6335.0,,-70.20000000000005,
2024-01-05,3.81,3.38,3.283,3.344,1310.2,3.651,116.19000244140625,2578.080078125,520500.0,6295.0,,-70.6,
2024-01-08,3.78,3.393,3.297,3.344,1313.7,3.634,117.72000122070312,2567.820068359375,320100.0,6305.0,,-66.6,
2024-01-09,3.76,3.355,3.255,3.323,1314.8,3.59,114.91999816894531,2561.239990234375,790300.0,6345.0,,-69.69999999999996,
2024-01-10,3.73,3.363,3.269,3.346,1312.1,3.589,109.62999725341797,2541.97998046875,570000.0,6305.0,,-69.39999999999999,
2024-01-11,3.7,3.33,3.227,3.307,1320.1,3.556,103.44999694824219,2540.27001953125,788400.0,6405.0,,-67.30000000000001,
2024-01-12,3.69,3.3,3.204,3.306,1316.0,3.536,106.51000213623047,2525.050048828125,790200.0,6380.0,,-65.39999999999999,
2024-01-15,3.68,3.269,3.191,3.293,1314.1,3.516,,2525.989990234375,800000.0,6500.0,,-66.69999999999999,
2024-01-16,3.67,3.303,3.235,3.322,1319.3,3.533,113.44000244140625,2497.590087890625,659600.0,6415.0,,-74.80000000000003,
2024-01-17,3.66,3.336,3.277,3.369,1329.0,3.538,105.86000061035156,2435.89990234375,965600.0,6330.0,,-73.09999999999994,
